"STATISTIC","Statistic Label","TLIST(M1)","Month","C02118V02559","Main Reason for Travel","UNIT","VALUE"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M05","2024 May","2","Visit to friends/relatives","Nights per trip","7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M05","2024 May","4","Other reason for journey","Nights per trip","14.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M05","2024 May","-","All reasons for journey","Nights per trip","7.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","3","Business","Nights per trip","5.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","1","Holiday/leisure/recreation","Nights per trip","6.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","2","Visit to friends/relatives","Nights per trip","7.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","4","Other reason for journey","Nights per trip","11.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","-","All reasons for journey","Nights per trip","7.3"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","3","Business","Nights per trip","6.1"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","1","Holiday/leisure/recreation","Nights per trip","7.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","2","Visit to friends/relatives","Nights per trip","8.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","4","Other reason for journey","Nights per trip","10.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","-","All reasons for journey","Nights per trip","8.1"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","3","Business","Nights per trip","7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","1","Holiday/leisure/recreation","Nights per trip","8.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","2","Visit to friends/relatives","Nights per trip","9.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","4","Other reason for journey","Nights per trip","10.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","-","All reasons for journey","Nights per trip","8.7"
