"STATISTIC","Statistic Label","TLIST(M1)","Month","C02118V02559","Main Reason for Travel","UNIT","VALUE"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M05","2024 May","4","Other reason for journey","Thousand","64.7"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M05","2024 May","-","All reasons for journey","Thousand","622.3"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M06","2024 June","3","Business","Thousand","106.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M06","2024 June","1","Holiday/leisure/recreation","Thousand","306.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M06","2024 June","2","Visit to friends/relatives","Thousand","191"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M06","2024 June","4","Other reason for journey","Thousand","65.2"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M06","2024 June","-","All reasons for journey","Thousand","669.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M07","2024 July","3","Business","Thousand","86"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M07","2024 July","1","Holiday/leisure/recreation","Thousand","299.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M07","2024 July","2","Visit to friends/relatives","Thousand","197.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M07","2024 July","4","Other reason for journey","Thousand","72.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M07","2024 July","-","All reasons for journey","Thousand","655.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M08","2024 August","3","Business","Thousand","75.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M08","2024 August","1","Holiday/leisure/recreation","Thousand","372.8"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M08","2024 August","2","Visit to friends/relatives","Thousand","246.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M08","2024 August","4","Other reason for journey","Thousand","68.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M08","2024 August","-","All reasons for journey","Thousand","763.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M01","2023 January","3","Business","%","12.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M01","2023 January","1","Holiday/leisure/recreation","%","27"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M01","2023 January","2","Visit to friends/relatives","%","54.2"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M01","2023 January","4","Other reason for journey","%","6.3"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M01","2023 January","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M02","2023 February","3","Business","%","19"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M02","2023 February","1","Holiday/leisure/recreation","%","29.2"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M02","2023 February","2","Visit to friends/relatives","%","40.4"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M02","2023 February","4","Other reason for journey","%","11.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M02","2023 February","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M03","2023 March","3","Business","%","17.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M03","2023 March","1","Holiday/leisure/recreation","%","38.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M03","2023 March","2","Visit to friends/relatives","%","35"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M03","2023 March","4","Other reason for journey","%","8.8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M03","2023 March","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M04","2023 April","3","Business","%","13.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M04","2023 April","1","Holiday/leisure/recreation","%","36.5"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M04","2023 April","2","Visit to friends/relatives","%","42.8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M04","2023 April","4","Other reason for journey","%","7.1"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M04","2023 April","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M05","2023 May","3","Business","%","12.9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M05","2023 May","1","Holiday/leisure/recreation","%","39.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M05","2023 May","2","Visit to friends/relatives","%","35.8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M05","2023 May","4","Other reason for journey","%","11.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M05","2023 May","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M06","2023 June","3","Business","%","14.3"
